subset,split,model,rmse,phm08_score
FD001,val,RandomForest,17.126106910038683,45310.174364450526
FD001,test,RandomForest,19.02967857157181,1063.4136895324718
FD001,val,XGBoost,16.04534399646339,31235.947756826652
FD001,test,XGBoost,17.3628431644678,680.4361775021133
FD002,val,RandomForest,17.86172533216873,115985.88294888416
FD002,test,RandomForest,28.24102578379108,11548.555772627056
FD002,val,XGBoost,17.144435573753313,89265.4738373604
FD002,test,XGBoost,27.910763912646676,12212.071953743249
FD003,val,RandomForest,13.80115206323193,33204.590614043016
FD003,test,RandomForest,18.684882804702937,1230.8194920551969
FD003,val,XGBoost,13.256785256866753,29962.92733271229
FD003,test,XGBoost,17.768629157279022,816.103775893452
FD004,val,RandomForest,17.654528796678658,358049.07328587177
FD004,test,RandomForest,28.981556269944843,6415.955008794485
FD004,val,XGBoost,17.101519672171133,338429.7716856234
FD004,test,XGBoost,28.493108618919265,5450.497188396099
